Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
116 , 4162756 ,  1819618 , 79 ,  1693007 , 185 ,  1683097 , 394 , 2627689 ,  1941983 ,  1890093 ,  1882446 ,  1792708 ,  1734080 ,  1729707 ,  2081390 ,  1450628 , 55 ,  1412268 , 73 ,  1405811 , 260
117 , 4425008 ,  1854998 , 80 ,  1708019 , 191 ,  1695017 , 401 , 2814814 ,  1951871 ,  1899053 ,  1887974 ,  1865040 ,  1800908 ,  1795124 ,  2212516 ,  1458187 , 59 ,  1419142 , 78 ,  1409584 , 281
118 , 5152022 ,  2044383 , 94 ,  1839552 , 208 ,  1818324 , 479 , 3216173 ,  2142220 ,  2063583 ,  2041274 ,  2131421 ,  2055325 ,  2045644 ,  2576023 ,  1600146 , 61 ,  1541204 , 85 ,  1525489 , 394
119 , 4626682 ,  1880821 , 81 ,  1706783 , 189 ,  1692005 , 436 , 2857901 ,  1976101 ,  1909645 ,  1894247 ,  1899216 ,  1831375 ,  1822954 ,  2313353 ,  1476437 , 57 ,  1425829 , 76 ,  1415137 , 345
120 , 4029744 ,  1663886 , 71 ,  1519663 , 168 ,  1506189 , 370 , 2515545 ,  1786089 ,  1736724 ,  1725051 ,  1684569 ,  1624411 ,  1618943 ,  2014884 ,  1334501 , 51 ,  1297040 , 71 ,  1287794 , 288
121 , 3836382 ,  1614032 , 71 ,  1477618 , 163 ,  1465695 , 365 , 2411822 ,  1723326 ,  1672003 ,  1659982 ,  1633334 ,  1575893 ,  1570525 ,  1918203 ,  1286997 , 50 ,  1248296 , 68 ,  1239602 , 274
122 , 3619070 ,  1539657 , 68 ,  1416790 , 157 ,  1406797 , 334 , 2276213 ,  1658137 ,  1611856 ,  1603153 ,  1535157 ,  1482452 ,  1477790 ,  1809547 ,  1239409 , 47 ,  1204636 , 64 ,  1197907 , 239
123 , 3430000 ,  1524389 , 64 ,  1420755 , 155 ,  1412022 , 327 , 2158463 ,  1657541 ,  1618054 ,  1610614 ,  1491138 ,  1442233 ,  1438835 ,  1715012 ,  1238185 , 48 ,  1208394 , 65 ,  1203214 , 227
124 , 3369640 ,  1488564 , 62 ,  1380339 , 147 ,  1372220 , 302 , 2122005 ,  1609796 ,  1564933 ,  1558606 ,  1457001 ,  1408323 ,  1405010 ,  1684832 ,  1201930 , 46 ,  1169632 , 62 ,  1164563 , 205
125 , 3340982 ,  1503022 , 63 ,  1404696 , 149 ,  1397070 , 305 , 2101737 ,  1636090 ,  1598397 ,  1592126 ,  1465862 ,  1420195 ,  1417145 ,  1670503 ,  1221137 , 46 ,  1194076 , 61 ,  1189618 , 209
126 , 3789720 ,  1682163 , 71 ,  1562748 , 168 ,  1552189 , 379 , 2387445 ,  1771432 ,  1717567 ,  1707420 ,  1649471 ,  1596867 ,  1591936 ,  1894872 ,  1323526 , 50 ,  1283166 , 67 ,  1275541 , 265
127 , 3502910 ,  1602517 , 69 ,  1507064 , 161 ,  1498794 , 349 , 2206261 ,  1729999 ,  1691303 ,  1685534 ,  1549849 ,  1501946 ,  1498979 ,  1751467 ,  1292463 , 50 ,  1263951 , 65 ,  1259012 , 238
128 , 3652710 ,  1651758 , 77 ,  1554485 , 177 ,  1545810 , 370 , 2303347 ,  1792270 ,  1751822 ,  1745266 ,  1619538 ,  1570590 ,  1567702 ,  1826367 ,  1338973 , 51 ,  1308315 , 69 ,  1303561 , 255
129 , 3640846 ,  1654927 , 69 ,  1557251 , 169 ,  1548472 , 361 , 2298981 ,  1786065 ,  1747564 ,  1739471 ,  1610289 ,  1561136 ,  1557639 ,  1820435 ,  1334411 , 51 ,  1304953 , 67 ,  1298988 , 259
130 , 3860470 ,  1735564 , 73 ,  1622724 , 178 ,  1612692 , 384 , 2434881 ,  1852503 ,  1804138 ,  1795560 ,  1698566 ,  1646097 ,  1642401 ,  1930247 ,  1383106 , 52 ,  1347881 , 70 ,  1340685 , 273
131 , 3625844 ,  1628785 , 68 ,  1523147 , 165 ,  1514537 , 344 , 2287872 ,  1757940 ,  1714134 ,  1707511 ,  1604415 ,  1554639 ,  1551434 ,  1812934 ,  1313931 , 52 ,  1280746 , 66 ,  1275186 , 244
132 , 3291570 ,  1499048 , 68 ,  1417203 , 154 ,  1410641 , 305 , 2069229 ,  1640308 ,  1611653 ,  1607003 ,  1458204 ,  1414509 ,  1412362 ,  1645797 ,  1225369 , 48 ,  1203669 , 64 ,  1200403 , 211
133 , 3468666 ,  1594905 , 72 ,  1505901 , 169 ,  1498918 , 333 , 2175682 ,  1722001 ,  1687545 ,  1681208 ,  1536579 ,  1490671 ,  1487974 ,  1734345 ,  1286703 , 50 ,  1260226 , 69 ,  1255831 , 241
134 , 3208742 ,  1482789 , 63 ,  1406086 , 153 ,  1399735 , 281 , 2015613 ,  1644348 ,  1617228 ,  1614080 ,  1438027 ,  1394621 ,  1392805 ,  1604383 ,  1227598 , 48 ,  1207750 , 59 ,  1205120 , 202
135 , 3438228 ,  1589198 , 66 ,  1501150 , 159 ,  1493968 , 313 , 2162364 ,  1727958 ,  1690988 ,  1686415 ,  1542017 ,  1496108 ,  1493907 ,  1719126 ,  1290402 , 49 ,  1263287 , 63 ,  1259663 , 218
136 , 3319620 ,  1521638 , 64 ,  1436812 , 152 ,  1429022 , 289 , 2071677 ,  1673389 ,  1642401 ,  1638330 ,  1469231 ,  1424676 ,  1422935 ,  1659822 ,  1250166 , 48 ,  1226585 , 61 ,  1223440 , 214
137 , 3171234 ,  1453188 , 60 ,  1375921 , 145 ,  1369261 , 266 , 1982682 ,  1600443 ,  1571779 ,  1568263 ,  1405990 ,  1365185 ,  1363657 ,  1585629 ,  1195122 , 47 ,  1173986 , 61 ,  1171560 , 190
138 , 3185632 ,  1464852 , 61 ,  1385328 , 148 ,  1378715 , 273 , 1999832 ,  1625325 ,  1597246 ,  1594117 ,  1424072 ,  1382275 ,  1380869 ,  1592828 ,  1213887 , 46 ,  1192981 , 61 ,  1190472 , 192
