Chunk #, JSON Bytes, JSON+DEFLATE_SPEED Bytes, JSON+DEFLATE_SPEED ms, JSON+DEFLATE_DEFAULT Bytes, JSON+DEFLATE_DEFAULT ms, JSON+DEFLATE_MAX Bytes, JSON+DEFLATE_MAX ms, ascii85 Bytes, DEFLATE_SPEED+ascii85 Bytes, DEFLATE_DEFAULT+ascii85 Bytes, DEFLATE_MAX+ascii85 Bytes, ascii85+DEFLATE_SPEED Bytes, ascii85+DEFLATE_DEFAULT Bytes, ascii85+DEFLATE_MAX Bytes, CBOR Bytes, CBOR+DEFLATE_SPEED Bytes, CBOR+DEFLATE_SPEED ms, CBOR+DEFLATE_DEFAULT Bytes, CBOR+DEFLATE_DEFAULT ms, CBOR+DEFLATE_MAX Bytes, CBOR+DEFLATE_MAX ms
185 , 3363856 ,  1606171 , 67 ,  1520341 , 157 ,  1513729 , 300 , 2098034 ,  1786836 ,  1757591 ,  1750892 ,  1523464 ,  1482049 ,  1480430 ,  1681940 ,  1334928 , 53 ,  1312772 , 63 ,  1306911 , 198
186 , 3348456 ,  1594732 , 67 ,  1511100 , 157 ,  1504056 , 300 , 2087913 ,  1778130 ,  1747762 ,  1739388 ,  1514759 ,  1473292 ,  1471668 ,  1674240 ,  1328398 , 52 ,  1305380 , 64 ,  1299283 , 199
187 , 3336042 ,  1589725 , 64 ,  1504316 , 156 ,  1497113 , 300 , 2080202 ,  1771374 ,  1740395 ,  1732805 ,  1505234 ,  1462998 ,  1461374 ,  1668033 ,  1323348 , 50 ,  1300661 , 64 ,  1294244 , 205
188 , 3259340 ,  1553586 , 63 ,  1470257 , 154 ,  1463249 , 291 , 2034999 ,  1732294 ,  1702282 ,  1693793 ,  1466165 ,  1425114 ,  1423506 ,  1629682 ,  1293545 , 49 ,  1271206 , 61 ,  1265343 , 199
189 , 3222880 ,  1521322 , 65 ,  1440057 , 149 ,  1433198 , 295 , 2006284 ,  1694538 ,  1665576 ,  1657393 ,  1445891 ,  1405386 ,  1403797 ,  1611452 ,  1265603 , 48 ,  1244077 , 61 ,  1238345 , 197
190 , 3150378 ,  1489378 , 65 ,  1409404 , 151 ,  1402804 , 294 , 1962127 ,  1660402 ,  1629548 ,  1623798 ,  1409554 ,  1368289 ,  1366623 ,  1575201 ,  1240151 , 48 ,  1217391 , 59 ,  1212696 , 196
191 , 3159774 ,  1486973 , 61 ,  1405872 , 146 ,  1399351 , 287 , 1960108 ,  1653892 ,  1623475 ,  1617729 ,  1412233 ,  1371484 ,  1369841 ,  1579899 ,  1235433 , 47 ,  1212757 , 60 ,  1208385 , 196
192 , 3159650 ,  1496635 , 62 ,  1417679 , 146 ,  1411274 , 293 , 1960959 ,  1666520 ,  1636222 ,  1631536 ,  1418223 ,  1377993 ,  1376445 ,  1579837 ,  1244981 , 47 ,  1222284 , 59 ,  1218118 , 196
193 , 3096708 ,  1472727 , 62 ,  1395083 , 145 ,  1388406 , 286 , 1921907 ,  1641878 ,  1611870 ,  1607151 ,  1394188 ,  1354918 ,  1353397 ,  1548366 ,  1226511 , 48 ,  1204133 , 59 ,  1200545 , 190
194 , 3091112 ,  1470191 , 61 ,  1391537 , 143 ,  1384693 , 293 , 1918506 ,  1637614 ,  1606471 ,  1601475 ,  1389749 ,  1349315 ,  1347767 ,  1545568 ,  1223223 , 46 ,  1199350 , 58 ,  1196135 , 191
